questionId,category,state,lengthDiff,correctLength,maxOtherLength,question,optionA,optionB,optionC,optionD,correctAnswer
CA-011,gdlLicensing,CA,10,36,26,"What must you complete before taking the driving test in California if under 18?","Only permit holding period","Driver education and driver training","Just 50 hours of practice","Online course only",B
CT-011,gdlLicensing,CT,10,33,23,"Can a teen with a permit have passengers other than the instructor in Connecticut?","Yes immediate family","Yes one friend","No only the instructor is allowed","Yes any licensed driver",C
CT-040,stateUnique,CT,10,33,23,"What happens to passenger restrictions after 12 months with a license in Connecticut?","Still limited to family","No more passengers than seatbelts","Unlimited passengers","Two passengers only",B
ID-009,gdlLicensing,ID,10,45,35,"Can Idaho parents sign responsibility for a minor driver?","Yes and they can withdraw consent at any time","No the state assumes responsibility","Only for insurance purposes","Only until age 16",A
IA-026,duiStateLaws,IA,10,36,26,"Can Iowa charge OWI for prescription drug impairment?","No only illegal drugs","Yes any substance causing impairment","Only if mixed with alcohol","Only controlled substances",B
LA-028,insurance,LA,10,36,26,"Does Louisiana require liability insurance?","No insurance optional","Yes liability insurance is mandatory","Only for new cars","Only for financed vehicles",B
ME-016,cellPhone,ME,10,14,4,"When did Maine ban handheld phones for all drivers?","2010","September 2019","2015","2022",B
ME-028,insurance,ME,10,36,26,"Does Maine require liability insurance?","No insurance optional","Yes liability insurance is mandatory","Only for new cars","Only for financed vehicles",B
MD-012,gdlLicensing,MD,10,22,12,"How long does the provisional period last in Maryland?","1 year","18 months until age 18","6 months","Until age 17",B
MS-026,duiStateLaws,MS,10,36,26,"Can Mississippi charge DUI for prescription drug impairment?","No only alcohol","Yes any substance causing impairment","Only illegal drugs","Only controlled substances",B
MS-028,insurance,MS,10,36,26,"Does Mississippi require liability insurance?","No it is optional","Yes liability insurance is mandatory","Only for new cars","Only for financed vehicles",B
MO-028,insurance,MO,10,36,26,"Does Missouri require liability insurance?","No it is optional","Yes liability insurance is mandatory","Only for new cars","Only for financed vehicles",B
MT-028,insurance,MT,10,36,26,"Does Montana require liability insurance?","No it is optional","Yes liability insurance is mandatory","Only for new cars","Only for financed vehicles",B
NE-028,insurance,NE,10,36,26,"Does Nebraska require liability insurance?","No it is optional","Yes liability insurance is mandatory","Only for new cars","Only for financed vehicles",B
NV-018,cellPhone,NV,10,31,21,"Are there work zone penalties for cell phone use in Nevada?","No same as everywhere","Yes doubled fines in work zones","Triple fines","License suspension",B
NV-028,insurance,NV,10,36,26,"Does Nevada require liability insurance?","No it is optional","Yes liability insurance is mandatory","Only for new cars","Only for financed vehicles",B
NJ-036,stateUnique,NJ,10,29,19,"Are right turns on red permitted in New Jersey?","Never","Yes unless prohibited by sign","Only outside cities","Only with arrow",B
NM-028,insurance,NM,10,36,26,"Does New Mexico require liability insurance?","No it is optional","Yes liability insurance is mandatory","Only for new cars","Only for financed vehicles",B
NC-028,insurance,NC,10,36,26,"Does North Carolina require liability insurance?","No it is optional","Yes liability insurance is mandatory","Only for new cars","Only for financed vehicles",B
OH-028,insurance,OH,10,36,26,"Does Ohio require liability insurance?","No it is optional","Yes liability insurance is mandatory","Only for new cars","Only for financed vehicles",B
OK-028,insurance,OK,10,36,26,"Does Oklahoma require liability insurance?","No it is optional","Yes liability insurance is mandatory","Only for new cars","Only for financed vehicles",B
PA-022,duiStateLaws,PA,10,27,17,"What happens if you refuse a BAC test in Pennsylvania?","Warning only","12-month license suspension","90 day suspension","Same as passing",B
RI-028,insurance,RI,10,36,26,"Does Rhode Island require liability insurance?","No it is optional","Yes liability insurance is mandatory","Only for new cars","Only for financed vehicles",B
SC-026,duiStateLaws,SC,10,22,12,"What BAC level triggers enhanced penalties in South Carolina?","0.10 percent","0.15 percent or higher","0.12 percent","0.20 percent",B
SC-028,insurance,SC,10,36,26,"Does South Carolina require liability insurance?","No it is optional","Yes liability insurance is mandatory","Only for new cars","Only for financed vehicles",B
SD-028,insurance,SD,10,36,26,"Does South Dakota require liability insurance?","No it is optional","Yes liability insurance is mandatory","Only for new cars","Only for financed vehicles",B
TN-028,insurance,TN,10,36,26,"Does Tennessee require liability insurance?","No it is optional","Yes liability insurance is mandatory","Only for new cars","Only for financed vehicles",B
TX-028,insurance,TX,10,36,26,"Does Texas require liability insurance?","No it is optional","Yes liability insurance is mandatory","Only for new cars","Only for financed vehicles",B
UT-023,duiStateLaws,UT,10,27,17,"What happens if you refuse a BAC test in Utah?","Warning only","18-month license suspension","90 day suspension","Same as passing",B
VT-011,gdlLicensing,VT,10,30,20,"What unique driving experience does Vermont require?","Nothing special","10 hours in adverse conditions","Night driving only","Highway driving only",B
VT-028,insurance,VT,10,36,26,"Does Vermont require liability insurance?","No it is optional","Yes liability insurance is mandatory","Only for new cars","Only for financed vehicles",B
VA-026,duiStateLaws,VA,10,22,12,"What BAC level triggers enhanced penalties in Virginia?","0.10 percent","0.15 percent or higher","0.12 percent","0.20 percent",B
WA-028,insurance,WA,10,36,26,"Does Washington require liability insurance?","No it is optional","Yes liability insurance is mandatory","Only for new cars","Only for financed vehicles",B
WV-026,duiStateLaws,WV,10,22,12,"What BAC level triggers enhanced penalties in West Virginia?","0.10 percent","0.15 percent or higher","0.12 percent","0.20 percent",B
WV-028,insurance,WV,10,36,26,"Does West Virginia require liability insurance?","No it is optional","Yes liability insurance is mandatory","Only for new cars","Only for financed vehicles",B
WI-028,insurance,WI,10,36,26,"Does Wisconsin require liability insurance?","No it is optional","Yes liability insurance is mandatory","Only for new cars","Only for financed vehicles",B
WY-028,insurance,WY,10,36,26,"Does Wyoming require liability insurance?","No it is optional","Yes liability insurance is mandatory","Only for new cars","Only for financed vehicles",B
U-030,roadSigns,ALL,9,26,17,"What does a yield sign require you to do?","Stop completely","Slow and give right-of-way","Merge immediately","Change lanes",B
U-042,roadSigns,ALL,9,24,15,"What does a stop ahead sign look like?","Red octagon","White rectangle","Red circle","Yellow diamond with STOP",D
U-047,roadSigns,ALL,9,24,15,"What does a detour sign indicate?","Alternate route required","Scenic route","Optional bypass","Rest area route",A
U-070,rulesOfRoad,ALL,9,26,17,"What must you do when approaching a roundabout?","Stop completely","Yield to traffic in circle","Speed up to merge","Signal right",B
U-090,rulesOfRoad,ALL,9,27,18,"What should you do at a blinking red traffic signal?","Slow down proceed","Stop and treat as stop sign","Yield then proceed","Wait for green",B
U-148,alcoholDUI,ALL,9,14,5,"What is the BAC limit for drivers under 21?","0.08%","0.05%","0.02% or lower","0.00%",C
U-149,alcoholDUI,ALL,9,30,21,"What does implied consent mean?","Right to refuse tests","Agreeing to testing by driving","Automatic guilty plea","Consent to search",B
AK-017,cellPhone,AK,9,40,31,"What happens if texting while driving causes an injury in Alaska?","Same penalty as regular texting","Class C felony with up to 5 years prison","Only civil liability","License suspension only",B
AK-026,duiStateLaws,AK,9,25,16,"What device is required after a DUI conviction in Alaska?","GPS tracker","Ignition interlock device","Dashboard camera","Speed limiter",B
AK-036,stateUnique,AK,9,42,33,"What should you do if involved in an accident with injuries in Alaska?","Leave to get help","Stop remain at the scene and call for help","Move vehicles first","Wait for the other driver to call",B
AR-016,cellPhone,AR,9,41,32,"Can drivers 21 and older talk on a handheld phone while driving in Arkansas?","Yes except in school zones and work zones","No hands-free required statewide","Yes anywhere","Only on highways",A
DE-027,insurance,DE,9,24,15,"What type of insurance state is Delaware?","No-fault","At-fault","Hybrid with PIP required","Choice no-fault",C
IL-017,cellPhone,IL,9,39,30,"What are the penalties for repeated cell phone violations in Illinois?","Same fine each time","Increasing fines from 75 to 150 dollars","License suspension after first","Vehicle impoundment",B
IN-029,insurance,IN,9,31,22,"Must Indiana drivers carry proof of insurance?","Only when registering","Yes at all times in the vehicle","Only for new drivers","Only after an accident",B
IA-029,insurance,IA,9,31,22,"Must Iowa drivers carry proof of insurance?","Only when registering","Yes at all times in the vehicle","Only for new drivers","Only after an accident",B
KS-012,gdlLicensing,KS,9,29,20,"Can Kansas parents withdraw consent for their teen's license?","No only courts can","Yes at any time before age 18","Only for violations","After 30 days notice",B
KY-012,gdlLicensing,KY,9,31,22,"What passenger limit applies after 6 months with Kentucky intermediate license?","No limit","3 unrelated passengers under 20","2 passengers","Same as first 6 months",B
ME-023,duiStateLaws,ME,9,26,17,"What happens if you refuse a BAC test in Maine?","Warning only","275 day license suspension","30 day suspension","Same as passing",B
MD-023,duiStateLaws,MD,9,26,17,"What happens if you refuse a BAC test in Maryland?","Warning only","270-day license suspension","30 day suspension","Same as passing",B
MT-022,duiStateLaws,MT,9,26,17,"What happens if you refuse a BAC test in Montana?","Warning only","6 month license suspension","30 day suspension","Same as passing",B
NH-022,duiStateLaws,NH,9,26,17,"What happens if you refuse a BAC test in New Hampshire?","Warning only","180-day license suspension","30 day suspension","Same as passing",B
NM-026,duiStateLaws,NM,9,23,14,"When does DWI become a felony in New Mexico?","Second offense","Third offense","Fourth offense","Eighth lifetime offense",D
NC-012,gdlLicensing,NC,9,30,21,"How does driver education affect North Carolina permit requirements?","No effect","Can reduce permit holding time","Waives practice hours","Waives road test",B
OK-022,duiStateLaws,OK,9,26,17,"What happens if you refuse a BAC test in Oklahoma?","Warning only","180-day license revocation","90 day suspension","Same as passing",B
PA-027,insurance,PA,9,22,13,"Is Pennsylvania an at-fault or no-fault insurance state?","At-fault","Choice no-fault system","Pure no-fault","Hybrid",B
SC-022,duiStateLaws,SC,9,26,17,"What happens if you refuse a BAC test in South Carolina?","Warning only","6-month license suspension","30 day suspension","Same as passing",B
